NAME,CODE
RITHALA,RI
ROHINI WEST,RHW
ROHINI EAST,RHE
PITAMPURA,PTP
KOHAT ENCLAVE,KE
NETAJI SUBHASH PLACE,NSHP
KESHAV PURAM,KP
KANHAIYA NAGAR,KN
INDERLOK,ILOK
SHASTRI NAGAR,SHT
PRATAP NAGAR,PRA
PULBANGASH,PBGH
TIS HAZARI,TZI
KASHMERE GATE,KGR
SHASTRI PARK,SHPK
SEELAMPUR,SLAP
WELCOME,WC
SHAHDARA,SHD
MANSAROVAR PARK,MPK
JHILMIL,JLML
DILSHAD GARDEN,DSG
SHAHEED NAGAR,SHDN
RAJ BAGH,RJBH
MAJOR MOHIT SHARMA RAJENDRA NAGAR,RJNM
SHYAM PARK,SMPK
MOHAN NAGAR,MNGM
ARTHALA,ATHA
HINDON RIVER,HDNR
SHAHEED STHAL (NEW BUS ADDA),NBAA
SAMAYPUR BADLI,SPBI
"ROHINI SECTOR-18,19",RISE
HAIDERPUR BADLI MOR,BIMR
JAHANGIRPURI,JGPI
ADARSH NAGAR,AHNR
AZADPUR,AZU
MODEL TOWN,MDTW
GURU TEG BAHADUR NAGAR,GTBR
VISWAVIDYALAYA,VW
VIDHAN SABHA,VS
CIVIL LINES,CL
KASHMERE GATE,KGM
CHANDNI CHOWK,CHK
CHAWRI BAZAR,CWBR
NEW DELHI,NDI
RAJIV CHOWK,RCK
PATEL CHOWK,PTCK
CENTRAL SECRETARIAT,CTST
UDYOG BHAWAN,UDB
LOK KALYAN MARG,RCC
JOR BAGH,JB
DILLI HAAT - INA,INA
AIIMS,AIIM
GREEN PARK,GNPK
HAUZ KHAS,HKS
MALVIYA NAGAR,MVNR
SAKET,SAKT
QUTAB MINAR,QM
CHHATARPUR,CHTP
SULTANPUR,SLTP
GHITORNI,GTNI
ARJAN GARH,AJG
GURU DRONACHARYA,GE
SIKANDERPUR,SKRP
M.G. ROAD,MGRO
IFFCO CHOWK,IFOC
HUDA CITY CENTRE,HCC
DWARKA SECTOR-21,DSTO
DWARKA SECTOR-8,DSET
DWARKA SECTOR-9,DSN
DWARKA SECTOR-10,DST
DWARKA SECTOR-11,DSE
DWARKA SECTOR-12,DSW
DWARKA SECTOR-13,DSTN
DWARKA SECTOR-14,DSFN
DWARKA,DW
DWARKA MOR,DM
NAWADA,NWDA
UTTAM NAGAR WEST,UNW
UTTAM NAGAR EAST,UNE
JANAKPURI WEST,JPW
JANAKPURI EAST,JPE
TILAK NAGAR,TN
SUBHASH NAGAR,SN
TAGORE GARDEN,TG
RAJOURI GARDEN,RG
RAMESH NAGAR,RN
MOTI NAGAR,MN
KIRTI NAGAR,KNR
SHADIPUR,SP
PATEL NAGAR,PN
RAJENDRA PLACE,RP
KAROL BAGH,KB
JHANDEWALAN,JW
RAMAKRISHNA ASHRAM MARG,RKAM
RAJIV CHOWK,RCK
BARAKHAMBA ROAD,BRKR
MANDI HOUSE,MDHS
SUPREME COURT,PTMD
INDRAPRASTHA,IDPT
YAMUNA BANK,YB
AKSHARDHAM, AKDM
MAYUR VIHAR-I,MVPI
MAYUR VIHAR EXTENSION,MVPE
NEW ASHOK NAGAR,NAKR
NOIDA SECTOR - 15,NSFT
NOIDA SECTOR - 16,NSST
NOIDA SECTOR - 18,NSET
BOTANICAL GARDEN,BCGN
GOLF COURSE,GEC
NOIDA CITY CENTRE,NCC
SECTOR-34 NOIDA,STFN
SECTOR-52 NOIDA,SFTN
SECTOR-61 NOIDA,SSON
SECTOR-59 NOIDA,SFNN
SECTOR-62 NOIDA,SSTN
NOIDA ELECTRONIC CITY,NECC
YAMUNA BANK,YB
LAXMI NAGAR , LN
NIRMAN VIHAR,NV
PREET VIHAR,PTVR
KARKARDUMA,KKDA
ANAND VIHAR ISBT,AVIT
KAUSHAMBI,KSHI
VAISHALI,VASI
INDERLOK,ILOK
ASHOK PARK MAIN,APMN
PUNJABI BAGH,PBGA
PUNJABI BAGH WEST,PBGW
SHIVAJI PARK,SHVP
MADIPUR,MAPR
PASCHIM VIHAR EAST,PVE
PASCHIM VIHAR WEST,PVW
PEERAGARHI,PAGI
UDYOG NAGAR,UNRG
MAHARAJA SURAJMAL STADIUM,SMSM
NANGLOI,NNOI
NANGLOI RAILWAY STATION,NRSN
RAJDHANI PARK,RDPK
MUNDKA,MUDK
MUNDKA INDUSTRIAL AREA (MIA),MIAA
GHEVRA METRO STATION,GHEM
TIKRI KALAN,TKLM
TIKRI BORDER,TKBR
PANDIT SHREE RAM SHARMA,MIEE
BAHADURGARH CITY,BUSS
BRIG. HOSHIAR SINGH,CIPK
KIRTI NAGAR,KNR
SATGURU RAM SINGH MARG,SRSM
ASHOK PARK MAIN,APMN
KASHMERE GATE,KG-6
LAL QUILA,LLQA
JAMA MASJID,JAMD
DELHI GATE,DLIG
ITO,ITO
MANDI HOUSE,MDHS-6
